,Business_links
0,https://www.yelp.com/biz/the-pink-door-seattle-4?osq=Restaurants
1,https://www.yelp.com/biz/witness-seattle?osq=Restaurants
2,https://www.yelp.com/biz/biscuit-bitch-seattle?osq=Restaurants
3,https://www.yelp.com/biz/toulouse-petit-kitchen-and-lounge-seattle?osq=Restaurants
4,https://www.yelp.com/biz/kedai-makan-seattle-4?osq=Restaurants
5,https://www.yelp.com/biz/nue-seattle?osq=Restaurants
6,https://www.yelp.com/biz/pike-place-chowder-seattle?osq=Restaurants
7,https://www.yelp.com/biz/re-public-seattle-2?osq=Restaurants
8,https://www.yelp.com/biz/list-seattle?osq=Restaurants
9,https://www.yelp.com/biz/local-public-eatery-seattle-4?osq=Restaurants
10,https://www.yelp.com/biz/taurus-ox-seattle?osq=Restaurants
11,https://www.yelp.com/biz/six-seven-restaurant-seattle-3?osq=Restaurants
12,https://www.yelp.com/biz/skillet-capitol-hill-seattle-2?osq=Restaurants
13,https://www.yelp.com/biz/skalka-seattle-4?osq=Restaurants
14,https://www.yelp.com/biz/paseo-seattle-11?osq=Restaurants
15,https://www.yelp.com/biz/cactus-restaurants-seattle-3?osq=Restaurants
16,https://www.yelp.com/biz/piroshky-piroshky-seattle?osq=Restaurants
17,https://www.yelp.com/biz/man-vs-fries-seattle-2?osq=Restaurants
18,https://www.yelp.com/biz/elliotts-oyster-house-seattle-2?osq=Restaurants
19,https://www.yelp.com/biz/fog%C3%B3n-cocina-mexicana-seattle-2?osq=Restaurants
20,https://www.yelp.com/biz/din-tai-fung-seattle-14?osq=Restaurants
21,https://www.yelp.com/biz/chan-seattle-seattle-2?osq=Restaurants
22,https://www.yelp.com/biz/a-hong-kong-kitchen-seattle?osq=Restaurants
23,https://www.yelp.com/biz/the-white-swan-public-house-seattle-2?osq=Restaurants
24,https://www.yelp.com/biz/radiator-whiskey-seattle?osq=Restaurants
25,https://www.yelp.com/biz/storyville-coffee-company-seattle-9?osq=Restaurants
26,https://www.yelp.com/biz/bar-harbor-seattle?osq=Restaurants
27,https://www.yelp.com/biz/harbor-city-restaurant-seattle?osq=Restaurants
28,https://www.yelp.com/biz/parish-northwest-seattle?osq=Restaurants
29,https://www.yelp.com/biz/vons-1000-spirits-seattle-4?osq=Restaurants
30,https://www.yelp.com/biz/serious-pie-seattle?osq=Restaurants
31,https://www.yelp.com/biz/musang-seattle-seattle-2?osq=Restaurants
32,https://www.yelp.com/biz/japonessa-sushi-cocina-seattle?osq=Restaurants
33,https://www.yelp.com/biz/the-butchers-table-seattle?osq=Restaurants
34,https://www.yelp.com/biz/dough-zone-seattle-3?osq=Restaurants
35,https://www.yelp.com/biz/tanoor-seattle-3?osq=Restaurants
36,https://www.yelp.com/biz/asadero-ballard-seattle?osq=Restaurants
37,https://www.yelp.com/biz/gold-bar-seattle-3?osq=Restaurants
38,https://www.yelp.com/biz/caf%C3%A9-hagen-seattle?osq=Restaurants
39,https://www.yelp.com/biz/meet-korean-bbq-seattle?osq=Restaurants
40,https://www.yelp.com/biz/pasta-casalinga-seattle?osq=Restaurants
41,https://www.yelp.com/biz/karaage-setsuna-seattle?osq=Restaurants
42,https://www.yelp.com/biz/tilikum-place-cafe-seattle-3?osq=Restaurants
43,https://www.yelp.com/biz/mangosteen-seattle-3?osq=Restaurants
44,https://www.yelp.com/biz/cornelly-seattle?osq=Restaurants
45,https://www.yelp.com/biz/dukes-seafood-seattle-8?osq=Restaurants
46,https://www.yelp.com/biz/aviv-shawarma-bar-seattle-2?osq=Restaurants
47,https://www.yelp.com/biz/g-h-pasta-co-seattle?osq=Restaurants
48,https://www.yelp.com/biz/19-gold-seattle?osq=Restaurants
49,https://www.yelp.com/biz/katsu-ya-seattle-seattle?osq=Restaurants
50,https://www.yelp.com/biz/hello-em-viet-coffee-and-roastery-seattle-2?osq=Restaurants
51,https://www.yelp.com/biz/jacks-chicken-shack-seattle?osq=Restaurants
52,https://www.yelp.com/biz/reckless-noodle-house-seattle-2?osq=Restaurants
53,https://www.yelp.com/biz/biang-biang-noodles-seattle-2?osq=Restaurants
54,https://www.yelp.com/biz/ramen-danbo-seattle-2?osq=Restaurants
55,https://www.yelp.com/biz/soju-anju-bar-seattle?osq=Restaurants
56,https://www.yelp.com/biz/mala-and-satay-seattle-2?osq=Restaurants
57,https://www.yelp.com/biz/lola-seattle?osq=Restaurants
58,https://www.yelp.com/biz/di-fiora-seattle?osq=Restaurants
59,https://www.yelp.com/biz/portage-bay-cafe-roosevelt-seattle?osq=Restaurants
60,https://www.yelp.com/biz/qin-xian-noodles-seattle-3?osq=Restaurants
61,https://www.yelp.com/biz/2120-seattle?osq=Restaurants
62,https://www.yelp.com/biz/stone-korean-restaurant-seattle-2?osq=Restaurants
63,https://www.yelp.com/biz/hannyatou-seattle-2?osq=Restaurants
64,https://www.yelp.com/biz/some-random-bar-seattle?osq=Restaurants
65,https://www.yelp.com/biz/dough-zone-seattle-2?osq=Restaurants
66,https://www.yelp.com/biz/bongos-seattle?osq=Restaurants
