,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
0,0,0,https://www.yelp.com/biz/a-account-drain-cleaners-llc-and-plumbing-oklahoma-city?osq=plumbing,73101,No,73143
1,1,1,https://www.yelp.com/biz/wiggys-plumbing-midwest-city?osq=plumbing,73101,Yes,73140
2,2,2,https://www.yelp.com/biz/aladdin-plumbing-oklahoma-city?osq=plumbing,73101,No,73102
3,3,3,https://www.yelp.com/biz/wynn-plumbing-oklahoma-city?osq=plumbing,73101,No,73159
4,4,4,https://www.yelp.com/biz/henslees-plumbing-heating-and-air-oklahoma-city?osq=plumbing,73101,Yes,73157
5,5,5,https://www.yelp.com/biz/jeans-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73110
6,6,6,https://www.yelp.com/biz/butler-plumbing-oklahoma-city-2?osq=plumbing,73101,Yes,73129
7,7,7,https://www.yelp.com/biz/water-works-plumbing-oklahoma-city?osq=plumbing,73101,No,73102
8,8,8,https://www.yelp.com/biz/greenhoward-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73121
9,9,9,https://www.yelp.com/biz/schuler-enterprises-oklahoma-city?osq=plumbing,73101,Yes,73118
10,10,10,https://www.yelp.com/biz/hull-plumbing-oklahoma-city-2?osq=plumbing,73101,Yes,73107
11,11,11,https://www.yelp.com/biz/route-66-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73119
12,12,12,https://www.yelp.com/biz/hunter-super-techs-edmond?osq=plumbing,73101,No,73013
13,13,13,https://www.yelp.com/biz/liszeski-plumbing-yukon-3?osq=plumbing,73101,Yes,73099
14,14,14,https://www.yelp.com/biz/advanced-plumbing-specialist-s-oklahoma-city?osq=plumbing,73101,No,73132
15,15,15,https://www.yelp.com/biz/pipe-down-slab-leak-repair-edmond?osq=plumbing,73101,Yes,73013
16,16,16,https://www.yelp.com/biz/anderson-plumbing-bethany-2?osq=plumbing,73101,Yes,73008
17,17,17,https://www.yelp.com/biz/lieber-plumbing-heating-and-air-conditioning-oklahoma-city?osq=plumbing,73101,No,73106
18,18,18,https://www.yelp.com/biz/b-and-d-mechanical-oklahoma-city?osq=plumbing,73101,Yes,73108
19,19,19,https://www.yelp.com/biz/24-hour-emergency-plumbers-oklahoma-city?osq=plumbing,73101,No,73104
20,21,21,https://www.yelp.com/biz/bullseye-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73107
