,Business_Name,Business_Address,Business_ReviewCount,Business_Rating,Business_Photos_Count,Business_Timings,Business_Claim_status,Customer_Name,Customer_Friends_count,Customer_Reviews_count,Customer_Photos_count,Customer_Elite,Customer_Elite_Year,Customer_Rating,Customer_Review,Customer_Review_Date,Customer_Review_Uploaded_Photos,Customer_Review_Useful,Customer_Review_Funny,Customer_Review_Cool,Business_response_By,Business_response_Date,Business_Response_for_Review,Business_Response
0,Wiggy's Plumbing,"Midwest City, OK 73140",4,5,,,,Jj P.,3,92,16,No,0,5,"I've used Wiggy's twice and I have been very grateful to them for their honesty & reasonable rates. I got an estimate for a water heater tank that was substantially lower than a local competitor and for a larger tank.Several years ago Roto Rooter quoted me $2000 to jack hammer out my bathroom floor to remove T- drain because it was backed up & said there was NoWay to ever unclog it now. A friend told me about Wiggy's - they unclogged the drain , told me to use Thrift periodically to keep it open & charged me $75! I nearly started crying in gratitude!Need I say more? Oh yeah, there are still honest businesses around!",8/18/2017,0,3,0,0,,,,0
1,Wiggy's Plumbing,"Midwest City, OK 73140",4,5,,,,John C.,1,22,2,No,0,5,"My new go to plumbing company. I had a water leak in my bathroom and the water shutoff valve wasn't working. From my initial call to request someone, to them coming and fixing was less than an hour! The price was fair and they were also courteous.",6/26/2020,0,0,0,0,,,,0
2,Wiggy's Plumbing,"Midwest City, OK 73140",4,5,,,,Vickie C.,0,2,0,No,0,5,"I've had the occasion to use Wiggy's Plumbing several time this past year. The service I received was beyond excellent.  I didn't know companies still used the courteous, honest and reasonably price practices.  This is the place to use.  They will be my go to plumbing services for any issues I might have.  Thank you Wiggy's for the excellent customer service and over the top workmanship.",10/24/2019,0,0,0,0,,,,0
3,Wiggy's Plumbing,"Midwest City, OK 73140",4,5,,,,Lenny K.,1,4,0,No,0,5,Best plumber in the state do I need to say more. Fix the AC  and had a leak in the floor that I though would have to Tera the floor up. They fix the leak and saved us money.,1/19/2017,First,1,0,0,,,,0
0,Henslee's Plumbing Heating and Air,"Oklahoma City, OK 73157",2,5,,,,Roger L.,0,1,0,No,0,5,"Chris Henslee is the best man I've ever known for the work he does: Plumbing/Heat/Air. Honest, and thorough. He's been my go-to guy for more than 10 years, and I've never been disappointed.",5/21/2018,0,1,0,0,,,,0
1,Henslee's Plumbing Heating and Air,"Oklahoma City, OK 73157",2,5,,,,Deanne C.,84,47,6,No,0,5,"Our guest shower began leaking A LOT. We called Henslee's on the recommendation of a neighbor. He came the next day and was very nice, helpful, and affordable. I don't think I have ever paid that little for a plumber! It usually costs at least $100 for a visit, but he charged us less than that to fix the problem. Will recommend and use again.",4/6/2017,First,2,0,0,,,,0
0,Jean's Plumbing,"Mid DelOklahoma City, OK 73110",2,5,,,,Matt M.,1110,2617,743,No,0,5,"We have used Jean's Plumbing/Heat & Air since we purchased our 1937 bungalow in northwest Oklahoma City's Denniston Park neighborhood back in 1999. We couldn't possibly be any happier with a company!Jean's is locally owned, and has always treated us both fairly and honestly.Jean's promptness and professionalism alike continue to amaze us, and the company even offers a (much welcomed) ten percent discount for its repeat patrons.By the bye, they (the good folks at Jean's Plumbing) not only take care of all our plumbing needs, but also all our HVAC work.We STRONGLY recommend Jean's for anyone needing plumbing work or HVAC work.",7/26/2010,1,1,0,0,,,,0
1,Jean's Plumbing,"Mid DelOklahoma City, OK 73110",2,5,,,,Craig M.,107,5,0,No,0,5,"Jean""s Plumbing really is top notch. They have helped fix frozen pipes, dead a/c units, and gas leaks. They are prompt, professional and fair. They take the time to explain the problem in a way that an knowledgeable person can understand. Plus their newsletter is very charming! :)",7/28/2012,0,2,0,2,,,,0
0,Butler Plumbing,"524 SE 29th StOklahoma City, OK 73129",1,5,,8:30 AM - 4:00 PM,Claimed,Christine H.,0,2,0,No,0,5,I called for service and was very pleased with the quick response. The receptionist who answered the phone was very helpful and the technician showed up within the determined time.  Excellent customer service and a prompt response. I would definitely recommend them.,5/13/2014,First,1,0,0,,,,0
0,Greenhoward Plumbing,"3803 Kings CtOklahoma City, OK 73121",1,5,,9:00 AM - 5:00 PM,,Mistyday H.,290,430,8076,Yes,'2021,5,Big shout  out to the Greenhoward Brothers [Greenhoward Plumbing] for fixing my busted pipes upstairs in my attic. They fully  have removed my copper pipes all together for cold & hot side & insulated the pipes!  If your a homeowner you want to remove all Cooper pipping from your home! I highly recommend them for your  plumbing needs. I've  used them numerous times for several different plumbing services!,2/18/2021,First,1,0,0,,,,0
0,Schuler Enterprises,"817 NW 34th StOklahoma City, OK 73118",1,5,,,,Randy P.,0,6,0,No,0,5,We had to call Schuler Enterprises because of a back up in our plumbing. I could not have been more pleased with how professional they were from the answering service taking my phone call to the 2 techs who came out to fix the problem! I highly recommend this company if you need plumbing services!,12/12/2017,First,0,0,0,,,,0
0,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Jo Ann Z.,0,35,8,No,0,5,"Plumbing is SO expensive!!  I had a water pipe in my front yard break and called Hull to fix it.  It was $1,200.  They were very nice and professional.   They had to dig quite a ways down, which they did.  They didn't tear up my yard or leave dirt everywhere.   That's HUGE!   There's a year warranty on their work.",1/13/2021,0,0,0,0,,,,0
1,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Britt M.,277,6,3,No,0,5,"Hull Plumbing was great. I ended up using HP as a second opinion and it saved me hundreds of dollars. They were able to schedule me for the next day, called 30 minutes before they arrived, and called immediately after to see if I was satisfied with the service.  I will definitely use this company again.",5/10/2019,0,1,0,0,,,,0
